N,P,K,temperature,humidity,rainfall,ph,label
74,37.18,46.44,29.95,88.2,1014.41,6.61,rice
102.12,30.74,33.15,26.71,85.71,1271.41,6.1,rice
94.92,36.17,47.59,25.1,86.16,1002.17,6.24,rice
82.73,51.54,32.48,26.37,76.24,1376.95,5.89,rice
73.88,47.98,48.73,27.23,72.02,1111.34,5.52,rice
82.65,33.83,36.09,29.65,62.39,1461.6,6.4,rice
131.13,45.04,44.73,30.71,81.4,1194.12,6.62,rice
187.53,48.27,40.18,28.3,65.23,1061.64,5.57,rice
128.8,55.11,31.71,32.65,60.38,1110.16,5.71,rice
85.26,58.72,31.39,32.71,88.64,1125.3,6.79,rice
138.58,39.42,48.13,29.98,65.22,1090.86,6.88,rice
159.95,33.3,43.78,30.12,78.9,1043.57,5.84,rice
184.2,41.5,30.73,25.29,62.59,1054.1,5.7,rice
164.99,46.13,33.38,33.48,76.86,1455.08,6.16,rice
152.98,57.49,48.8,34.35,64.66,1464.7,6.68,rice
118.05,38.93,40.92,26.86,65.61,1489.83,6.39,rice
177.04,32.98,46.1,34.76,64.66,1481.73,5.63,rice
155.71,51.72,33.19,27.56,82.35,1392.37,6.37,rice
188.05,29.92,37.5,31.01,68.41,1392.45,5.76,rice
192.04,41.09,40.5,25.53,78.02,1279.32,6.84,rice
187.51,57.82,49.8,26.93,72.2,1106.57,6.66,rice
78.67,54.36,45.82,27.35,86.69,1410.68,5.76,rice
116.09,30.59,42.88,28.06,76.61,1224.37,5.59,rice
184.2,43.54,37.94,26.54,66.21,1373.28,5.75,rice
196,50.81,47.78,31.5,86.19,1222.55,6.35,rice
98.71,45.94,32.03,25.04,60.25,1227.55,5.86,rice
75,48.08,31.15,25.32,65.77,1426.14,6.88,rice
183.71,52.64,30.22,26.58,75.84,1430.08,6.93,rice
159.18,36.16,49.6,32.68,83.26,1039.3,6.07,rice
140.86,25.74,42.81,34.44,67.5,1438.8,6.38,rice
158.26,50.31,46.35,27.18,82.91,1311.3,6.9,rice
197.93,35.06,46.22,28.17,76.18,1266.9,6.84,rice
104.64,33.7,37.69,30.24,71.07,1188.26,6.23,rice
152.76,42.23,42.65,32.97,60.61,1164.91,6.83,rice
155.61,29.76,34.32,32.05,83.35,1296.6,6.35,rice
147.06,29.46,48.02,29.22,70.42,1308.03,6.66,rice
184.8,56.71,46.84,29.39,77.62,1323.1,5.97,rice
189.07,53.64,46.53,27.37,81.9,1042.29,6.02,rice
